Produto / Cor;Previsão;Estoque;Pedidos;Disponível
000029 - MICRO SIDE - COR: 69 - BRANCO;Pronta entrega;16.600,00;0,00;16.600,00
000029 - MICRO SIDE - COR: 69 - BRANCO;12/02/2026;21.200,00;0,00;21.200,00
000029 - MICRO SIDE - COR: 7 - RED;Pronta entrega;2.999,00;0,00;2.999,00
000030 - VELUDO DIAMOND - COR: 11 - BEIGE;Pronta entrega;26.785,60;330,00;26.455,60
000030 - VELUDO DIAMOND - COR: 11 - BEIGE;23/02/2026;12.322,70;0,00;12.322,70
000030 - VELUDO DIAMOND - COR: 12 - IVORY;Pronta entrega;19.634,10;680,00;18.954,10
000030 - VELUDO DIAMOND - COR: 12 - IVORY;23/02/2026;7.330,90;0,00;7.330,90
000030 - VELUDO DIAMOND - COR: 13 - CHOCOLATE;Pronta entrega;24.180,30;360,00;23.820,30
000030 - VELUDO DIAMOND - COR: 13 - CHOCOLATE;23/02/2026;12.422,30;0,00;12.422,30
000030 - VELUDO DIAMOND - COR: 2 - CAPPUCINO;Pronta entrega;20.701,30;1.880,00;18.821,30
000030 - VELUDO DIAMOND - COR: 2 - CAPPUCINO;23/02/2026;11.689,80;0,00;11.689,80
000030 - VELUDO DIAMOND - COR: 20 - WINE;Pronta entrega;2.892,00;180,00;2.712,00
000030 - VELUDO DIAMOND - COR: 20 - WINE;23/02/2026;1.462,30;0,00;1.462,30
000030 - VELUDO DIAMOND - COR: 26 - BLUE NIGHT;Pronta entrega;7.484,00;230,00;7.254,00
000030 - VELUDO DIAMOND - COR: 26 - BLUE NIGHT;23/02/2026;1.520,00;0,00;1.520,00
000030 - VELUDO DIAMOND - COR: 29 - TERRA COTA;Pronta entrega;4.356,80;180,00;4.176,80
000030 - VELUDO DIAMOND - COR: 29 - TERRA COTA;23/02/2026;1.306,00;0,00;1.306,00
000030 - VELUDO DIAMOND - COR: 37 - GRANITO;Pronta entrega;5.088,20;980,00;4.108,20
000030 - VELUDO DIAMOND - COR: 37 - GRANITO;23/02/2026;1.480,80;0,00;1.480,80
000030 - VELUDO DIAMOND - COR: 5 - BLACK;Pronta entrega;2.647,00;180,00;2.467,00
000030 - VELUDO DIAMOND - COR: 5 - BLACK;23/02/2026;5.109,30;0,00;5.109,30
000030 - VELUDO DIAMOND - COR: 53 - CINZA NANQUIM;Pronta entrega;27.992,80;180,00;27.812,80
000030 - VELUDO DIAMOND - COR: 53 - CINZA NANQUIM;23/02/2026;17.592,40;0,00;17.592,40
000030 - VELUDO DIAMOND - COR: 6 - DARK BROWN;Pronta entrega;14.210,80;1.830,00;12.380,80
000030 - VELUDO DIAMOND - COR: 6 - DARK BROWN;23/02/2026;9.905,40;0,00;9.905,40
